drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
Bleomycin_(50_uM),92.170235,-98.40564,-67.97781,-4.5995502,-5.512597,-66.83762,-122.700165,25.941566,-134.13368,117.91706,119.578476,-32.99752,7.287123,10.00949,3.738645,60.46239,34.697968,-101.233215,51.569588,19.257963,-92.194885,1.0779958,52.731026,42.21411,-151.26201,-13.394904,28.575512,-94.25583,92.31164,72.69893,15.943494,-145.8574
BLU9931,30.84795,-33.41799,-25.560698,-2.1536891,-2.622391,-22.332512,-45.292908,10.650197,-47.65084,42.689434,43.235546,-14.05551,3.5913167,2.1365747,1.2281969,22.097628,15.402117,-36.47985,20.693146,8.879079,-30.855524,0.53419286,18.601603,13.267864,-54.149475,-6.0280623,11.007076,-32.49672,32.002228,26.634892,4.393009,-52.397152
BMS-345541,18.70814,-21.177912,-15.307007,-0.21945255,-0.6559083,-13.643867,-25.871693,6.2198076,-27.582966,25.860737,24.38707,-7.475076,1.9390943,1.0971518,0.32365823,12.689405,7.725775,-20.211327,10.982082,4.2520947,-18.289488,0.7505104,12.324345,8.438144,-32.050053,-3.9049377,5.38493,-20.038631,18.733324,15.177309,2.8456578,-30.300367
BMS-509744,39.286324,-44.48655,-31.42158,-1.4150554,-2.1871188,-29.01689,-56.029854,11.278738,-58.927677,53.04681,51.491413,-14.456057,5.154805,3.4298391,1.6393913,26.06555,15.864748,-42.017548,22.19603,10.432844,-38.3444,1.9138668,24.885815,18.92667,-65.83149,-7.7628736,11.841131,-41.901672,41.369904,31.268621,5.609235,-64.03211
BMS-536924,31.120495,-33.45767,-24.582294,-0.5776652,-3.0315924,-21.485971,-44.135574,10.354511,-45.49031,39.113956,41.999435,-11.174624,4.2196856,2.3783116,-0.7321769,22.45699,14.117774,-33.992157,19.513367,10.669617,-29.101797,0.7691251,20.3497,13.848704,-52.913464,-6.3994102,9.491893,-31.455873,30.12696,24.343702,4.932713,-49.1786
BMS-754807,30.167059,-32.882095,-23.545622,-0.45366716,-3.8619246,-20.921263,-44.235214,9.570552,-43.929832,36.964783,40.8534,-9.77477,4.8807955,2.1161635,-1.3675989,21.609858,13.62996,-32.035698,19.315529,11.570756,-27.843382,0.45246962,20.5473,13.909904,-51.120487,-6.4047832,8.91732,-30.449831,29.567669,22.801542,4.2491837,-47.65021
BMS-911543,28.348454,-32.339363,-22.215094,-0.049254343,-3.207956,-20.022003,-41.40158,8.752708,-41.225597,35.14182,37.31621,-8.173102,4.5341864,2.0473526,-1.4318821,19.410698,11.487554,-28.694693,16.785072,10.131359,-26.027193,0.6930314,20.816242,14.559259,-47.784832,-6.1934977,7.5171804,-29.753267,27.708042,21.185743,4.446458,-44.4182
BMX-IN-1,32.88817,-35.833706,-27.387684,-2.1284957,-3.3977625,-23.62678,-48.375397,11.69364,-50.757732,44.71886,46.233517,-14.602185,4.22047,1.9921731,0.6503083,23.971767,16.372389,-38.39931,22.273104,10.339373,-32.4271,0.1985435,20.919151,14.841508,-57.899208,-6.622669,11.600372,-34.870674,33.354103,28.006601,5.1719966,-55.251457
Bortezomib,24.58726,-27.954,-19.466837,-0.48555955,-1.632165,-18.300825,-34.401966,7.629982,-36.582485,32.44153,31.762878,-8.228314,2.4230723,2.0638025,-0.16289763,16.41988,9.505047,-25.66553,13.871273,6.2802114,-24.17664,1.1990181,16.947205,12.835022,-41.256454,-4.4183416,6.771504,-26.530836,24.321926,19.591967,4.1476474,-39.335754
Bosutinib,33.24154,-36.63965,-26.47595,-1.3695626,-2.1244152,-24.156065,-47.479824,10.150202,-49.488712,44.66878,44.566612,-13.020722,4.0294504,2.8378973,1.043933,22.642412,14.446463,-36.770123,20.026997,8.925967,-32.38811,1.0132191,20.210726,14.791451,-56.311653,-6.315318,10.658142,-34.864243,34.579384,26.65668,4.821266,-54.40383
BPTES,32.44135,-35.2636,-27.323679,-2.4517038,-1.8268415,-23.901827,-46.632927,10.61253,-50.382378,46.248287,45.01089,-15.456469,3.853375,2.6462421,2.9167557,23.100264,15.722078,-38.583805,20.64749,8.483799,-32.864067,1.2120777,18.02009,13.4118805,-56.43692,-6.6557593,11.911828,-34.316532,34.18102,28.81297,4.47436,-55.175514
Brigatinib,38.180206,-42.418106,-30.213324,-0.5567624,-2.3024411,-26.911774,-53.199745,11.140137,-55.60414,49.402287,50.124676,-13.476974,5.6917515,3.4778712,0.92447346,26.189083,15.426357,-40.40559,21.450245,11.493932,-35.574127,1.8435911,24.12529,17.423483,-63.455956,-8.090674,11.318664,-39.605984,38.53055,29.274195,6.04245,-60.01405
"Brivanib, BMS-540215",23.619585,-25.851425,-18.833202,-0.60119593,-2.6484182,-16.742985,-34.52611,8.300132,-35.179295,30.325682,32.147163,-8.451848,2.6306484,1.697577,-1.0818312,16.940733,11.1140785,-26.046062,15.420016,7.811325,-22.736916,0.42633,16.28819,11.170983,-40.842964,-4.6259027,7.100279,-24.406393,22.840855,19.166044,3.6572645,-38.364746
"Brivanib,_BMS-540215",23.619587,-25.851425,-18.833202,-0.60119605,-2.6484184,-16.742987,-34.52611,8.300133,-35.17929,30.325682,32.147167,-8.451849,2.6306481,1.6975769,-1.0818315,16.940733,11.1140785,-26.04606,15.420016,7.811325,-22.736917,0.4263299,16.288189,11.170983,-40.842964,-4.6259027,7.100279,-24.406393,22.840855,19.166044,3.6572647,-38.364746
