drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
GSK2606414,0.817476,-0.15538183,-0.7247062,-0.81569386,-0.10603461,0.5817703,-0.42099175,3.23023,-0.04484136,1.4321856,-0.11835831,-0.34507695,-1.2282373,0.63169324,0.20591906,1.385686,1.0029203,2.299929,1.2535262,0.14633277,-0.27094904,-0.59390736,-0.3384201,0.9110803,-0.537818,0.7704447,0.36851195,0.517542,-0.4609434,0.80069834,-0.08854626,0.048119992
GSK269962A,0.9074813,-0.14403129,-0.7186992,-0.82323146,-0.07740662,0.34968936,-0.3060076,2.4491138,-0.037233878,1.496152,-0.10522214,-0.3210358,-1.2322698,0.67311203,0.17778152,1.1624787,0.7581732,2.2343872,0.92688024,0.050115302,-0.28225887,-0.5579743,-0.19568051,0.8913391,-0.37723812,0.95226496,0.33826286,0.35417235,-0.44039175,0.80010897,-0.09603078,0.08356712
GSK2830371,0.9006283,-0.12374536,-0.7305645,-0.86032957,-0.09377885,0.41998696,-0.4001992,3.0545208,-0.03938341,1.5660366,-0.09978177,-0.31830457,-1.205345,0.6496642,0.20064838,1.4329104,0.81207544,2.177421,1.228121,0.061392862,-0.25284752,-0.59559375,-0.256252,1.086957,-0.5028957,0.936447,0.39305106,0.483671,-0.45021784,0.82347846,-0.09171533,0.08754411
GSK319347A,0.95815855,-0.06498312,-0.7310225,-0.8248955,-0.035681423,0.54660493,-0.36539322,3.4637198,-0.09320142,1.8923571,-0.06019192,-0.2608528,-1.2606179,0.7066278,0.24949385,1.5889453,0.8689121,2.4966502,1.4426578,0.08219193,-0.2967916,-0.6022751,-0.3226674,1.1526502,-0.5081268,0.77056015,0.41574565,0.53671294,-0.33945802,0.8393852,0.008432018,0.049377594
GSK343,0.9631815,-0.13945888,-0.7208631,-0.81347674,-0.08750384,0.34215564,-0.3537011,2.4532905,-0.0452544,1.5673622,-0.111725666,-0.32102314,-1.2284107,0.69695365,0.1781662,1.1833848,0.7091348,2.2695684,0.9511165,0.043796923,-0.27472076,-0.5414553,-0.14187637,0.86721885,-0.31204197,0.9942474,0.3391088,0.354743,-0.43600875,0.8382291,-0.1131619,0.10407026
GSK429286A,0.7655255,-0.14598612,-0.70379674,-0.8449204,-0.0858815,0.58292264,-0.36970416,3.2300377,-0.067612186,1.4448508,-0.0988856,-0.31097412,-1.172254,0.6349097,0.19884045,1.3896804,0.9968125,2.3081026,1.2559773,0.13829048,-0.2698896,-0.61194956,-0.30886325,0.91209495,-0.45248994,0.7649163,0.36776587,0.51660705,-0.44755948,0.80536395,-0.072565846,0.050805975
GSK481,0.8319072,-0.15616688,-0.72455806,-0.8520139,-0.09295924,0.39648136,-0.38336995,2.4403853,-0.08307596,1.2870734,-0.10384682,-0.32257736,-1.2154267,0.56843615,0.17988612,1.1426681,0.7454105,1.9019699,0.96850634,0.060087748,-0.2800477,-0.6251823,-0.33736232,0.8527551,-0.49764517,0.8006605,0.33150208,0.36025468,-0.44897804,0.75594807,-0.09473777,0.047341496
GSK484,1.2464975,-0.15495525,-0.71154475,-0.8193872,-0.07678682,0.798184,-0.31098348,4.0920334,-0.030947398,2.8143446,-0.11121729,-0.33147788,-1.2188449,1.0078582,0.17371854,2.2338686,0.8501333,2.7674732,2.143464,0.055070527,-0.2952012,-0.5792553,-0.27471852,1.5358908,-0.4503806,0.933222,0.31839308,0.8260778,-0.45172247,0.82470167,-0.09752301,0.24479614
GSK583,1.089247,-0.14397232,-0.7753974,-0.87150407,-0.08947079,0.47584394,-0.3875686,3.345648,-0.11272084,1.8650881,-0.1090886,-0.3949231,-1.3609476,0.7497322,0.29712152,1.4327127,0.9141475,2.6130857,1.326932,0.062354725,-0.30570304,-0.61789256,-0.27173775,1.0875348,-0.38681075,1.013971,0.4007937,0.49418506,-0.48514056,0.8346541,-0.090890236,0.06978608
GSK591,0.89094305,-0.16286045,-0.7288002,-0.85758734,-0.09998335,0.3467664,-0.40745476,2.3770726,-0.025715386,1.4280401,-0.11313608,-0.33064258,-1.241975,0.6420905,0.15853012,1.1181531,0.6657064,2.2138236,0.9035712,0.03563524,-0.27658358,-0.6461554,-0.27848065,0.8499983,-0.46361253,0.91910917,0.3137333,0.32377025,-0.45805222,0.81707746,-0.12918979,0.06289206
GSK650394,0.851396,-0.14555423,-0.737825,-0.8174504,-0.09281144,0.39816967,-0.35751885,2.5296803,-0.03205664,1.3259164,-0.112306714,-0.35204384,-1.3123178,0.6143656,0.16088353,1.1183645,0.71470827,2.0280437,0.9967178,0.055173796,-0.28385615,-0.6708823,-0.26707405,0.8721024,-0.52337706,0.8832264,0.33264577,0.3811001,-0.4620705,0.80428123,-0.11302114,0.07820795
GSK690693,0.94392335,-0.14403127,-0.7289058,-0.79700637,-0.051704917,0.3074097,-0.25351825,2.4491138,-0.038076036,1.6179667,-0.13894777,-0.3092608,-1.253214,0.6852329,0.23644483,1.1624787,0.7707794,2.402344,0.92851734,0.0447545,-0.26609978,-0.5579743,-0.19568051,0.8913391,-0.37723812,0.9301519,0.33826286,0.3541723,-0.4404907,0.8222812,-0.04985729,0.08356712
GSK864,0.8457842,-0.14743873,-0.676425,-0.8346054,-0.07926048,0.36446023,-0.3487921,2.4815853,-0.041525956,1.4033368,-0.10214034,-0.3086496,-1.123077,0.63566905,0.20311673,1.2045023,0.74219173,2.1846266,0.95697236,0.06694568,-0.26627806,-0.566892,-0.30631447,0.87741214,-0.44832617,0.85213643,0.3335153,0.35766733,-0.43371046,0.80796766,-0.068568885,0.0455726
GSK923295,0.9617605,-0.11816872,-0.72163135,-0.82625145,-0.0815198,0.42132425,-0.32181516,3.0293207,-0.07132487,1.596931,-0.10450396,-0.3200135,-1.2237319,0.6670704,0.18277884,1.3789811,0.8288394,2.303169,1.2106012,0.05090085,-0.24758694,-0.58134,-0.20230925,1.057989,-0.3432595,0.9142908,0.40117273,0.4811026,-0.44946554,0.7355191,-0.10233867,0.07467328
GW-2580,0.8207798,-0.16480818,-0.74256545,-0.82777685,-0.12461783,0.3042344,-0.4776326,2.3950508,-0.07566979,1.336744,-0.17760997,-0.40613022,-1.2785962,0.5503685,0.09538905,1.1701946,0.6304105,1.8404844,0.9187019,-0.09881383,-0.29679167,-0.6203737,-0.3150984,0.8807953,-0.5068895,0.7750007,0.3130686,0.33000186,-0.4714427,0.74232274,-0.3063361,0.026654458
GW441756,0.8403341,-0.1607769,-0.7284355,-0.8357228,-0.073180795,0.3846461,-0.37387568,2.4158924,-0.08571434,1.2987877,-0.118956424,-0.37210187,-1.2557257,0.5592012,0.1661302,1.1391337,0.7651892,1.8558713,0.96366334,0.07291491,-0.31636146,-0.5904802,-0.33189684,0.845685,-0.5285956,0.80145663,0.31159374,0.39663422,-0.46477342,0.73337483,-0.12266726,0.032042533
GW843682X,0.7534952,-0.10976663,-0.77178204,-0.85829073,-0.09125779,0.58099335,-0.3892081,3.2263794,-0.0879412,1.4245783,-0.117874965,-0.36697894,-1.3548373,0.63176084,0.20993531,1.3795394,1.0034674,2.2987747,1.250523,0.14888501,-0.2880312,-0.64794135,-0.3226674,1.0238564,-0.50812685,0.7172471,0.40351677,0.5165985,-0.4765847,0.8008747,-0.07597328,0.04765632
HG-5-113-01,0.99767596,-0.14980333,-0.7391943,-0.8574752,-0.09213367,0.4861728,-0.3636045,3.348304,-0.10003229,1.720606,-0.112893246,-0.3410223,-1.2594332,0.68011475,0.281806,1.4590197,0.8997955,2.3833768,1.3492138,0.05584038,-0.2774981,-0.5998307,-0.26190302,1.0995578,-0.40055203,0.897271,0.40270934,0.49761948,-0.46714053,0.7825889,-0.10408053,0.07694733
HG-5-88-01,0.99767596,-0.117139086,-0.7865525,-0.8675597,-0.08950085,0.4861728,-0.37057415,3.348304,-0.037075303,1.7206059,-0.11289326,-0.38990825,-1.310085,0.6801146,0.281806,1.4590197,0.8997955,2.3833768,1.3492137,0.055840395,-0.27001098,-0.62834984,-0.26190302,1.0995578,-0.41018498,0.897271,0.40893185,0.49761954,-0.47387493,0.79093707,-0.10034294,0.07694728
HG-9-91-01,0.96318156,-0.14592557,-0.70643204,-0.84781444,-0.07661889,0.3469429,-0.35795084,2.4316244,-0.043512452,1.5673622,-0.0946119,-0.28707334,-1.2010685,0.69695365,0.24719511,1.1833849,0.72694457,2.2695687,0.9255441,0.07596432,-0.2607965,-0.56919557,-0.22593547,0.86721885,-0.434611,0.9942474,0.32987362,0.35575667,-0.43385637,0.8382291,-0.049069766,0.0468956
HG6-64-1,0.93921316,-0.15002218,-0.7186993,-0.8445143,-0.09208649,0.57984096,-0.38212332,3.226572,-0.027093653,1.5291246,-0.10522218,-0.32103583,-1.2322698,0.6744007,0.21701384,1.3755448,1.0095752,2.290601,1.2480719,0.15692732,-0.2822588,-0.5703956,-0.15566625,0.9065859,-0.34867388,0.97311294,0.3679798,0.51753354,-0.44039175,0.81953764,-0.075973265,0.09569312
I-BET-762,0.86068374,-0.12472088,-0.7305218,-0.8503649,-0.086433396,0.41212183,-0.3821924,3.0016856,-0.08385562,1.621363,-0.13252437,-0.34609374,-1.246708,0.5807798,0.16736262,1.4340578,0.7666021,2.0586033,1.2138367,0.020661762,-0.2523913,-0.5589653,-0.16710447,1.0860926,-0.3284932,0.8091366,0.3852611,0.46103078,-0.4895014,0.75745696,-0.16148743,0.09352867
I-BET151,0.7997148,-0.13623266,-0.71060777,-0.80787545,-0.080237634,0.33752394,-0.32743388,2.5097926,-0.06815514,1.280112,-0.12180957,-0.3641253,-1.1421334,0.5515248,0.18597496,1.1241293,0.7688726,1.8810084,0.9672519,0.056044914,-0.2952371,-0.57627183,-0.30523545,0.8700715,-0.419063,0.752115,0.35894668,0.3715654,-0.43160245,0.7127205,-0.104656786,0.03707761
I-BRD9,1.008474,-0.110250376,-0.7228145,-0.7979089,-0.08503584,0.58177024,-0.35092723,3.3809447,-0.08846374,1.9635047,-0.11835833,-0.36011377,-1.2623818,0.7681325,0.21346305,1.6814314,1.0029203,2.6125243,1.4403608,0.14633285,-0.27927998,-0.5630524,-0.18969637,1.1800487,-0.3778522,0.9018776,0.39922515,0.5287268,-0.42641893,0.91579163,-0.088546276,0.09196417
Ibrutinib,0.7953274,-0.15657924,-0.7359711,-0.8156939,-0.07211798,0.36379,-0.3094555,2.3372557,-0.036671437,1.322698,-0.11915446,-0.34774312,-1.2406548,0.5992354,0.18476458,1.1206739,0.7674233,2.012606,0.91400087,0.031885695,-0.2547835,-0.5753123,-0.3031032,0.864867,-0.42336297,0.8491868,0.32418227,0.33416507,-0.4609434,0.7704719,-0.11352987,0.047341507
IC-87114,0.8609478,-0.13092189,-0.70031685,-0.7717645,-0.07645754,0.30741084,-0.29765236,2.439962,-0.067779765,1.3069404,-0.12882209,-0.33645627,-1.2146864,0.56355906,0.19613871,1.1383923,0.7683187,1.8662521,0.900979,0.06879691,-0.32606646,-0.56352466,-0.3072697,0.8682679,-0.5048252,0.8264568,0.3421926,0.36206964,-0.4058673,0.7468439,-0.04694608,0.040537916
Idelalisib,0.8016108,-0.13092192,-0.70031685,-0.7717646,-0.073540725,0.3494456,-0.29765236,2.5085719,-0.098087415,1.3068419,-0.12882212,-0.3364563,-1.2289469,0.5384811,0.2078181,1.1711097,0.79235584,1.9011257,0.94990486,0.06879694,-0.3459257,-0.5574419,-0.17146555,0.8852789,-0.3108777,0.7695979,0.34911188,0.37299976,-0.40586734,0.69027627,-0.046946097,0.09042854
Imatinib,0.96131885,-0.15166518,-0.7186993,-0.84451437,-0.09208647,0.34968933,-0.37760663,2.3945801,-0.03172108,1.5674843,-0.10522218,-0.32103577,-1.2322698,0.69927967,0.16060789,1.1853807,0.69919235,2.2810402,0.92309105,0.050115306,-0.2822588,-0.57320267,-0.22593544,0.86599624,-0.43461096,0.99345917,0.3289401,0.34422237,-0.44039175,0.8368965,-0.09603078,0.04699552
IMD-0354,0.81790316,-0.12351452,-0.7107622,-0.8368308,-0.08708144,0.5806179,-0.36760032,3.2304227,-0.1030893,1.561857,-0.10381178,-0.3114163,-1.2187054,0.62847716,0.21299759,1.4132164,1.0090281,2.2917557,1.2510753,0.15437503,-0.27990082,-0.6432449,-0.42980656,1.0781851,-0.6692721,0.6946347,0.38882887,0.51847696,-0.43534607,0.79603267,-0.08000286,0.04543406
IOX2,0.8219656,-0.13634679,-0.70717764,-0.78647095,-0.082428366,0.4100906,-0.32297304,2.4812071,-0.08915945,1.3753021,-0.1107959,-0.3116233,-1.2142265,0.5588049,0.19811067,1.1162878,0.75367296,1.9860706,0.9938693,0.05533981,-0.2673122,-0.62468773,-0.41832194,0.8487722,-0.6119559,0.78817314,0.34402242,0.36863378,-0.4179867,0.7505567,-0.07270677,0.04734148
IPA-3,0.765527,-0.12576737,-0.7913567,-0.87139547,-0.10248877,0.44824332,-0.48887545,3.1197736,-0.096507594,1.4079258,-0.1260038,-0.41829455,-1.3704325,0.53053206,0.29077086,1.3288674,0.85202503,1.9251878,1.2663925,0.08653455,-0.34435794,-0.6719031,-0.436934,1.0449696,-0.7073897,0.7114428,0.40947306,0.5122287,-0.46395028,0.7093854,-0.058288924,0.056443274
Ipatasertib,1.0055948,-0.12472088,-0.71425164,-0.8544815,-0.094664365,0.4121219,-0.38354936,3.0016856,-0.040768564,1.6366285,-0.10558167,-0.32523242,-1.1572696,0.6460102,0.15335827,1.4340578,0.7660901,2.338426,1.2138366,0.0605725,-0.27226663,-0.57459503,-0.17061946,1.0860925,-0.31126425,0.9616199,0.3852609,0.4610309,-0.4787461,0.7682616,-0.11149968,0.10681211
